10. Sport i rekreacja,1
"wiaty (np. na sprzęt pływający), magazyny sprzętu sportowego, hangary na łodzie",12
"domki campingowe (letnie) bez łazienek, pawilony szatnie, umywalnie i toalety, przebieralnie",23
"domki wypoczynkowe (letnie) z toaletami i łazienkami,",34
"stadiony z trybunami, sale gimnastyczne i sportowe dla gier zespołowych (koszykówka, siatkówka, piłka ręczna itp), zespoły odnowy biologicznej (basen, jacuzzi, sauna, masaż itp.)",45
"pływalnie (kryte), lodowiska (kryte), wielofunkcyjne budynki sportowe, budynki aquaparków",56
