08. Kultura,1
świetlice,23
"kluby mieszkańców, dyskoteki",34
"kina (1-2 sale dla ok. 200 osób lub mniejsze), sale i pawilony wystawowe, galerie, pawilony muzealne, biblioteki bez zaplecza konserwacji zbiorów, magazynów zwartych (ok.100.000 woluminów i mniejsze)",45
"multikina, teatry o ograniczonej technologii, cyrki stałe, sale kongresowe, sale kongresowe, biblioteki o pełnym programie",56
"teatry, opery, operetki, filharmonie, sale koncertowe, muzea, centra kongresowe",60
