02. Budynki biurowe,1
proste budynki jednokondygnacyjne bez garaży,23
budynki wielokondygnacyjne niskie (do 12m) bez garaży,34
budynki wielokondygnacyjne średniowysokie i wysokie (do 55m) – piętra typu open space (bez aranżacji),45
"j.w. z zapleczem gastronomicznym, odnową biologiczną, usługami",56
budynki wysokościowe (powyżej 55m) - piętra typu open space (bez aranżacji),56
"j.w. z zapleczem gastronomicznym, odnową biologiczną, usługami",60
budynki ze specjalnymi wymaganiami (prestiżowe siedziby firm),60
